image_name;team_stats1;team_stats2
1.png;[LIVE]uResponsive 655 22 436Alleviat 510 26 649[CG]ilyRusty 430 17 321Aufull 405 15 413Pale 350 9 535;[x]D-Deqoh 275 1 319MMeziah- 225 0 366AlbinEU_ 125 1 276Akeelahh 125 0 141[x]vK--Miister 50 1 101
2.png;[LIVE]uResponsive 880 22 699Alleviat 715 38 868Pale 575 9 809[CG]ilyRusty 530 19 471Aufull 405 15 510;[x]D-Deqoh 550 6 619MMeziah- 225 0 634AlbinEU_ 225 3 426Akeelahh 225 1 291[x]vK--Miister 175 5 269
3.png;[LIVE]uResponsive 880 22 809Pale 800 9 1355[CG]ilyRusty 730 19 884Alleviat 715 38 1117Aufull 620 23 660;[x]D-Deqoh 975 15 1059Akeelahh 870 27 833MMeziah- 480 20 953[x]vK--Miister 375 8 488AlbinEU_ 275 9 512
4.png;Pale 1115 16 1714[LIVE]uResponsive 1080 22 1087Aufull 985 30 920Alleviat 825 63 1191[CG]ilyRusty 760 30 1014;[x]D-Deqoh 1205 15 1454Akeelahh 870 27 970MMeziah- 695 25 1348AlbinEU_ 575 9 705[x]vK--Miister 475 8 748
5.png;Pale 1115 16 1714[LIVE]uResponsive 1080 22 1087Aufull 985 30 976Alleviat 825 63 1191[CG]ilyRusty 760 30 1014;[x]D-Deqoh 1305 15 1454Akeelahh 870 27 970MMeziah- 695 25 1348AlbinEU_ 575 9 705[x]vK--Miister 475 8 748
6.png;[LIVE]uResponsive 1205 24 1333Pale 1115 16 1714Alleviat 1090 69 1550Aufull 985 34 976[CG]ilyRusty 860 30 1201;[x]D-Deqoh 1305 15 1748Akeelahh 870 27 1179MMeziah- 760 31 1422AlbinEU_ 675 9 763[x]vK--Miister 505 19 844
7.png;[LIVE]uResponsive 1305 24 1547Pale 1215 16 2300Aufull 1190 47 1266Alleviat 1185 85 1550[CG]ilyRusty 960 35 1351;[x]D-Deqoh 1405 15 2014AlbinEU_ 1100 12 1213Akeelahh 1095 27 1316MMeziah- 760 31 1422[x]vK--Miister 605 19 1057
8.png;Pale 2130 24 3064Aufull 1720 61 1861[LIVE]uResponsive 1670 38 2063[CG]ilyRusty 1405 57 2042Alleviat 1315 101 1895;[x]D-Deqoh 1520 15 2387AlbinEU_ 1325 14 1645Akeelahh 1095 27 1752[x]vK--Miister 955 19 1523MMeziah- 885 31 1877
9.png;Pale 2130 24 3064Aufull 1720 61 1861[LIVE]uResponsive 1670 40 2063[CG]ilyRusty 1405 59 2042Alleviat 1315 103 1895;[x]D-Deqoh 1520 15 2387AlbinEU_ 1325 14 1645Akeelahh 1095 27 1752[x]vK--Miister 955 19 1523MMeziah- 885 31 1877
10.png;Pale 2995 34 4101Aufull 2455 99 2791[CG]ilyRusty 2195 75 2943[LIVE]uResponsive 2065 52 2721Alleviat 1880 122 2713;[x]D-Deqoh 2275 29 3627AlbinEU_ 1725 14 2341Akeelahh 1420 27 2568[x]vK--Miister 1380 24 2038MMeziah- 1365 45 2526
11.png;Pale 3095 34 4391Aufull 2505 101 2791[CG]ilyRusty 2195 75 3043[LIVE]uResponsive 2165 52 3060Alleviat 1880 122 2891;[x]D-Deqoh 2615 29 4005AlbinEU_ 1825 14 2527Akeelahh 1520 27 2718MMeziah- 1465 45 2613[x]vK--Miister 1395 30 2101
12.png;Pale 3095 34 4425Aufull 2680 101 2941Alleviat 2255 125 3306[CG]ilyRusty 2195 75 3090[LIVE]uResponsive 2165 52 3060;[x]D-Deqoh 2615 30 4145AlbinEU_ 2090 24 2677[x]vK--Miister 1720 30 2318MMeziah- 1615 49 2733Akeelahh 1520 29 2841
13.png;Pale 3095 34 4425Aufull 2680 101 2941Alleviat 2255 125 3306[CG]ilyRusty 2195 75 3090[LIVE]uResponsive 2165 52 3060;[x]D-Deqoh 2615 31 4145AlbinEU_ 2105 25 2677[x]vK--Miister 1720 30 2318MMeziah- 1615 49 2733Akeelahh 1520 29 2841
14.png;Pale 3480 58 4653Aufull 2945 108 3213Alleviat 2790 148 3925[LIVE]uResponsive 2540 52 3425[CG]ilyRusty 2470 78 3509;[x]D-Deqoh 2920 34 4397AlbinEU_ 2330 28 3051[x]vK--Miister 2045 30 2474Akeelahh 1870 32 3182MMeziah- 1865 49 3094
15.png;[CG]ilyRusty 0 0 0Alleviat 0 0 0[LIVE]uResponsive 0 0 0Pale 0 0 0Aufull 0 0 0;Clouti-_- 0 0 0Charkyy-_- 0 0 0Descennd 0 0 0youGettingGunned 0 0 0[yayo]xoVSAT 0 0 0
16.png;[CG]ilyRusty 675 2 695[LIVE]uResponsive 650 0 730Pale 525 0 697Aufull 225 0 262Alleviat 0 0 32;youGettingGunned 200 0 567Descennd 200 0 469Clouti-_- 100 0 211[yayo]xoVSAT 100 0 204Charkyy-_- 0 0 184
17.png;[LIVE]uResponsive 1500 4 1682[CG]ilyRusty 1025 4 1286Aufull 800 4 1041Pale 750 0 1290Alleviat 300 1 478;[yayo]xoVSAT 525 1 979Descennd 450 0 831Clouti-_- 425 1 556youGettingGunned 325 1 1013Charkyy-_- 100 0 573
18.png;[LIVE]uResponsive 1600 4 1908[CG]ilyRusty 1325 6 1728Pale 1175 0 2353Aufull 800 5 1305Alleviat 650 1 1056;[yayo]xoVSAT 1525 4 2280youGettingGunned 1075 2 2018Descennd 750 2 1288Clouti-_- 650 3 976Charkyy-_- 200 0 730
